# time luminosity u_luminosity radius u_radius
-6.685649425853625871e+00 1.914492650808158788e+37 1.361299689242972537e+37 1.009696756440193742e+06 4.807322334757765248e+02
-6.685225761131732725e+00 1.916729108138391384e+37 1.362439985471495538e+37 1.009697512601008988e+06 4.805432542663156710e+02
-6.684791456282255240e+00 1.919022114256926331e+37 1.363608771515413588e+37 1.009698286920189043e+06 4.803514787606865752e+02
-6.684344157532905228e+00 1.921371709810949447e+37 1.364829377952986552e+37 1.009699083015187876e+06 4.801570083328066403e+02
-6.683877590330666862e+00 1.923849361864890546e+37 1.366071840855862325e+37 1.009699911790805287e+06 4.799573901926666508e+02
-6.683391859492985532e+00 1.926430092349812426e+37 1.367366419685327843e+37 1.009700772717966000e+06 4.797534941877204915e+02
-6.682876304228557274e+00 1.929178525544461315e+37 1.368731817774561294e+37 1.009701684667975991e+06 4.795403465419415738e+02
-6.682339871404110454e+00 1.932019874986088458e+37 1.370181992935776151e+37 1.009702630997343571e+06 4.793232199582187718e+02
-6.681759609971777536e+00 1.935132223918987439e+37 1.371723994444112129e+37 1.009703650474823778e+06 4.790938795654338946e+02
-6.681130741882952861e+00 1.938495256740450025e+37 1.373414234742538881e+37 1.009704752284133458e+06 4.788515662392858871e+02
-6.680438156661693938e+00 1.942171258422681391e+37 1.375314880876337812e+37 1.009705962310930598e+06 4.785919505534130280e+02
-6.679664682611473836e+00 1.946327855819861239e+37 1.377368116051210014e+37 1.009707308931212523e+06 4.783118804817851810e+02
-6.678790789432241581e+00 1.951108826566934195e+37 1.379572465250021561e+37 1.009708823575536371e+06 4.780094206907673424e+02
-6.677755636716028675e+00 1.956655526484113535e+37 1.382345840220929664e+37 1.009710609273698181e+06 4.776685656589710334e+02
-6.676509807643014938e+00 1.963371812402642565e+37 1.385630399740985423e+37 1.009712748289912124e+06 4.772793775978961435e+02
-6.674966175749432296e+00 1.971626082339538345e+37 1.389798339399991263e+37 1.009715382681113901e+06 4.768298434290376235e+02
-6.672981323252315633e+00 1.982291807091152407e+37 1.395097311024562638e+37 1.009718747263952391e+06 4.762957764011119366e+02
-6.670611002598889172e+00 1.995046567982764644e+37 1.401418161146365522e+37 1.009722738238239661e+06 4.756980967206464470e+02
-6.668320144497556612e+00 2.007372636524449925e+37 1.407577979140339912e+37 1.009726569757525809e+06 4.751632538865688389e+02
-6.666089105841820128e+00 2.019447011853886647e+37 1.413541549331721455e+37 1.009730282194377505e+06 4.746779021861435126e+02
-6.663886245456524193e+00 2.031362389219347634e+37 1.419486452696927636e+37 1.009733926952306530e+06 4.742376232147921655e+02
-6.661683549813460559e+00 2.043408449731987271e+37 1.425347840953735842e+37 1.009737548941506189e+06 4.738326848551969874e+02
-6.659452783860615455e+00 2.055534617704285887e+37 1.431396613893689257e+37 1.009741201838440960e+06 4.734544991695609610e+02
-6.657172178951441310e+00 2.068264606775383920e+37 1.437125367128944905e+37 1.009744926759033231e+06 4.730891395004944684e+02
-6.654814477180480026e+00 2.080884274560972920e+37 1.443849222624235953e+37 1.009748763337705052e+06 4.727399174310949661e+02
-6.652351210301276296e+00 2.094432462955291295e+37 1.450375442704040925e+37 1.009752769048433634e+06 4.723771266085585694e+02
-6.649752463723416440e+00 2.108790535638022652e+37 1.457208318692656746e+37 1.009756977910392801e+06 4.720191678522104439e+02
-6.646983123282552697e+00 2.124055296405054971e+37 1.464647187015170879e+37 1.009761445745218196e+06 4.716638767834302257e+02
-6.644009609692147933e+00 2.140577046848218681e+37 1.472532193759488512e+37 1.009766223110965570e+06 4.713064596780764646e+02
-6.640789217330166139e+00 2.158568342115242111e+37 1.481016340390196702e+37 1.009771379630322568e+06 4.709441915009891204e+02
-6.637280848721275106e+00 2.178212888334261836e+37 1.490302477442937972e+37 1.009776980313754058e+06 4.705739825764723037e+02
-6.633568316610762849e+00 2.198985790445446708e+37 1.500226506901129420e+37 1.009782900318131200e+06 4.701974473973135105e+02
-6.629664289837819524e+00 2.220898563012384856e+37 1.510621890509560239e+37 1.009789105147940922e+06 4.698058503866188289e+02
-6.625691570661729202e+00 2.243403843312894465e+37 1.521039469838165276e+37 1.009795409266249975e+06 4.694234161063577631e+02
-6.621758279492496513e+00 2.265826316072682353e+37 1.531317774601711651e+37 1.009801640449867584e+06 4.690565867660681647e+02
-6.617861595354042947e+00 2.288162981704390512e+37 1.541414137521846907e+37 1.009807811392609612e+06 4.686991938395855186e+02
-6.613981151007465087e+00 2.310490467013814388e+37 1.551404343294801435e+37 1.009813951508465922e+06 4.683401609845274720e+02
-6.610094895062502474e+00 2.332976307015525966e+37 1.561335800540633960e+37 1.009820088527357206e+06 4.679804100670208982e+02
-6.606181775438017212e+00 2.355841421690204841e+37 1.571108381518816417e+37 1.009826257637036731e+06 4.676177367535984217e+02
-6.602416542693390511e+00 2.377774082772461559e+37 1.580670211536822344e+37 1.009832191772731254e+06 4.672753511315608534e+02
-6.598869536755955778e+00 2.398633691476894392e+37 1.589467773079361465e+37 1.009837781140359933e+06 4.669525046486371593e+02
-6.595496923575410619e+00 2.418660433118153823e+37 1.597651775488543555e+37 1.009843088337843423e+06 4.666521213381737994e+02
