# File gs1826-24_5.14h.dat
# Created Sat Oct 31 10:23:47 2015
#
# This profile forms part of the sample assembled for the paper
#   "Thermonuclear burst observations for model comparisons: a reference
#   catalogue" by Galloway, Goodwin & Keek (2017), PASA 34, e019
#   DOI: https://doi.org/10.1017/pasa.2017.12; published online: 19/4/2017
#
# The dataset can be cited as
#   Duncan K. Galloway (2017). Dataset: Thermonuclear Burst Observations for
#   Model Comparisons: A Reference Sample.
#   DOI: http://dx.doi.org/10.4225/50/58e720d5d95a7
#
# This profile is from MINBAR burst #2393
# (#7 in Galloway et al. 2008, ApJS 179, 360), of
# GS 1826-24, observed on MJD 50988.82504
# by the Rossi X-ray Timing Explorer (RXTE).
# 
# For full details of the source sample see
# http://burst.sci.monash.edu/minbar 
#
# The burst recurrence time is derived from a linear fit to the time of
# this burst and optical bursts observed at the same time; see Thompson et
# al. 2008, ApJ 681, 506 for details.
# The fit incorporates intrinsic variations in the recurrence time,
# arising (for example) from the variations in accretion rate over the
# bursting interval
#
# Assumed cycle count is 
# [0,1,5,6,10,11] 
# Average recurrence time is 5.14 +/- 0.07 hr
#
# This version of the data now includes deadtime correction (see 
# http://heasarc.gsfc.nasa.gov/docs/xte/recipes/pca_deadtime.html)
# and has the updated effective area of the v11.7 responses (see
# http://www.universe.nasa.gov/xrays/programs/rxte/pca/doc/rmf/pca-arf-2011
#
# All uncertainties below are at 1-sigma (68%) confidence. Note that the
# time value specifies the BEGINNING of the time bin
#
# Columns are:
# 'Time [s]' 'dt [s]' 'flux [10^-9 erg/cm^2/s]' 'flux error [10^-9 erg/cm^2/s]' 'blackbody temperature kT [keV]' 'kT error [keV]' 'blackbody normalisation K_bb [(km/d_10kpc)^2]' 'K_bb error [(km/d_10kpc)^2]' chi-sq
 19.750  0.500  15.94    0.452   1.888  0.029  116.507   7.108  0.905
 20.250  1.000  15.16    0.404   1.911  0.031  105.571   6.758  0.623
 21.250  1.000  15.01    0.317   1.845  0.021  120.369   5.574  0.854
 22.250  1.000  13.93    0.314   1.799  0.022  123.564   6.118  1.214
 23.250  1.000  13.75    0.304   1.829  0.022  114.280   5.509  0.680
 24.250  1.000  13.17    0.304   1.814  0.023  112.959   5.707  1.097
 25.250  1.000  13.21    0.305   1.750  0.022  130.832   6.633  1.004
 26.250  1.000  12.36    0.281   1.784  0.022  113.234   5.631  0.992
 27.250  1.000  12.19    0.292   1.729  0.022  126.608   6.665  1.762
 28.250  1.000  12.30    0.291   1.734  0.022  126.465   6.571  1.520
 29.250  1.000  11.82    0.287   1.770  0.023  111.885   5.973  0.778
 30.250  1.000  11.17    0.254   1.754  0.024  109.584   6.152  0.823
 31.250  1.000  11.10    0.250   1.697  0.023  124.411   6.900  1.299
 32.250  1.000  11.07    0.277   1.659  0.022  135.893   7.419  1.229
 33.250  1.000  10.42    0.249   1.685  0.024  120.025   7.057  1.498
 34.250  1.000  10.74    0.277   1.691  0.023  121.965   6.897  1.874
 35.250  1.000  10.29    0.248   1.720  0.025  109.286   6.463  1.099
 36.250  1.000  10.11    0.244   1.691  0.025  114.864   6.826  1.141
 37.250  2.000   9.69    0.237   1.645  0.024  123.112   7.482  1.488
 39.250  2.000   9.30    0.185   1.655  0.017  115.188   5.007  1.127
 41.250  2.000   9.03    0.165   1.640  0.018  115.969   5.229  0.894
 43.250  2.000   8.55    0.176   1.618  0.017  115.790   5.175  1.000
 45.250  2.000   8.32    0.161   1.635  0.019  108.148   5.148  1.270
 47.250  2.000   8.13    0.160   1.621  0.019  109.490   5.438  2.726
